Protein Group Accessions	Protein Descriptions	scenario	label	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
P13073	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1 - [COX41_HUMAN]	A	TRUE	0.00173875432525952	0.174452133794694	0.36461937716263	1	0.942474048442907	0.488177623990773	0.177912341407151	0.270472895040369	0.23356401384083	0.0777970011534025	0	0.0869665513264129	0.0481978085351788	0.0852652825836217	0.0561562860438293	0.0359140715109573	0.101095732410611	0.0282295271049596	0.0831747404844291	0.0926326412918108	0.0702277970011534	0.190455594002307	0.369232987312572
P14406	Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1 - [CX7A2_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0.410481770833333	0.184375	0.306022135416667	0.32158203125	0.455403645833333	0.611979166666667	0.29638671875	0	0.461263020833333	0.554036458333333	0.862955729166667	1
P14854	Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2 - [CX6B1_HUMAN]	A	TRUE	0.31638418079096	1	0.491720241574128	0.154958114163257	0	0	0	0	0	0	0	0	0	0	0	0	0.0112059224624976	0	0	0	0	0	0
P20674	Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2 - [COX5A_HUMAN]	A	TRUE	0.00588709677419355	0.445719602977668	0.446960297766749	1	0.917493796526055	0.527915632754342	0.170285359801489	0.220409429280397	0.263709677419355	0.00867245657568238	0.0411414392059553	0.0484677419354839	0.0440880893300248	0.0831265508684863	0.0280769230769231	0.0568548387096774	0.0957816377171216	0	0.0320967741935484	0.0379590570719603	0.0359181141439206	0.119789081885856	0.64454094292804
P29692	Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5 - [EF1D_HUMAN]	A	TRUE	0	0	0	0.502027027027027	1	0.891047297297297	0.543496621621622	0.300422297297297	0.14847972972973	0.0577702702702703	0.0480067567567568	0	0	0	0	0	0	0	0	0	0	0	0
P35557	Glucokinase OS=Homo sapiens GN=GCK PE=1 SV=1 - [HXK4_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
P38570	Integrin alpha-E OS=Homo sapiens GN=ITGAE PE=1 SV=3 - [ITAE_HUMAN]	A	TRUE	0	0	0	0.363586156111929	1	0.364874815905744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P42765	3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2 - [THIM_HUMAN]	A	TRUE	0	0	0	0.861736810906935	1	0.405898043864849	0.159306461173681	0.149673977474807	0.140545346769413	0.0181238885595732	0.0105705394190871	0.022732661529342	0.00954060462359218	0	0	0	0.0100489033787789	0	0	0	0	0.0116434499110848	0.0515115589804386
P42766	60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2 - [RL35_HUMAN]	A	TRUE	0	0.297115987460815	0.245329153605016	0	0	0	0	0	0	1	0.943573667711599	0.613228840125392	0	0.453793103448276	0.15166144200627	0.260376175548589	0.367272727272727	0	0.158683385579937	0	0	0	0
P49189	4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3 - [AL9A1_HUMAN]	A	TRUE	0	0.0960776218001652	0	1	0.885218827415359	0.291205615194055	0	0.112345169281585	0.0704789430222956	0.00559867877786953	0	0.00977291494632535	0	0	0	0	0	0	0	0	0	0	0
P49406	39S ribosomal protein L19, mitochondrial OS=Homo sapiens GN=MRPL19 PE=1 SV=2 - [RM19_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.985467128027682	0.628166089965398	0.00462076124567474	0.511072664359862	0.21923875432526	0.203114186851211	0.201522491349481	0.0940484429065744	0	0	0	0.0677093425605536	0.113979238754325
P50402	Emerin OS=Homo sapiens GN=EMD PE=1 SV=1 - [EMD_HUMAN]	A	TRUE	0	0	0	0	0	0.165191332411249	0.210511756569848	0.386537574919318	0	0	0.285753803596127	0.345735361917935	0.186307053941909	0.538958045182112	0.408990318118949	0.330013831258645	0.536191793453204	0.394236975564776	0.513600737667128	0.779621945597049	0.548178884278469	1	0.76210235131397
P51659	Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens GN=HSD17B4 PE=1 SV=3 - [DHB4_HUMAN]	A	TRUE	0	0.110924137931034	0.198537931034483	1	0.756413793103448	0.348689655172414	0.152331034482759	0.241324137931035	0.154593103448276	0	0.0244965517241379	0	0.0160137931034483	0.0198096551724138	0	0.00655448275862069	0.0205324137931034	0	0.00631448275862069	0	0	0.028	0.146262068965517
P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Homo sapiens GN=NDUFA8 PE=1 SV=3 - [NDUA8_HUMAN]	A	TRUE	0	0	0	0	0.366154690071311	0	0	0	0.0758365331870543	0	0	0.269199122325837	0	0.45693911135491	0.127345035655513	0.312945693911135	0.413055403181569	0	0.0322545255074054	0.387822270981898	0.347504114097641	0.729566648381788	1
P52815	39S ribosomal protein L12, mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2 - [RM12_HUMAN]	A	TRUE	0	0.0468459152016546	0.112254395036194	0.66063426404688	0.974146845915202	0.606514994829369	0.334539813857291	0.381764908652189	0.59100310237849	1	0.98379869010686	0.638745260255084	0.361254739744916	0.429851775249914	0.226473629782834	0.178731471906239	0.226990692864529	0.0854360565322303	0.0671664943123061	0.0653567735263702	0.0637194071009997	0.128128231644261	0.449844881075491
P53634	Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2 - [CATC_HUMAN]	A	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P54920	Alpha-soluble NSF attachment protein OS=Homo sapiens GN=NAPA PE=1 SV=3 - [SNAA_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0.251578436134046	0.864983001457018	0.669499757163672	0.840456532297232	0.972802331228752	0.511413307430792	0.456775133559981	0.901894123360855	0.554638173870811	1	0
P56192	Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2 - [SYMC_HUMAN]	A	TRUE	0	0	0	0	0	1	0	0	0.46322188449848	0.35726443768997	0	0	0	0	0	0	0	0	0	0	0	0	0
P58317	Zinc finger protein 121 OS=Homo sapiens GN=ZNF121 PE=3 SV=2 - [ZN121_HUMAN]	A	TRUE	0.100804232804233	1	0.666878306878307	0	0	0	0	0	0	0	0.00817566137566138	0.00698412698412698	0	0	0	0.0061989417989418	0.0173312169312169	0.0102285714285714	0.00678730158730159	0.0044973544973545	0	0	0.0210751322751323
P61254	60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1 - [RL26_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.901769087523278	0	0	0.245251396648045	0.112150837988827	0	0.214618249534451	0.0815176908752328	0	0	0.13207635009311	0.285148975791434	0
P63173	60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2 - [RL38_HUMAN]	A	TRUE	0	0	0	0	0	1	0.896066517428846	0	0.583306683722418	0.256507834985609	0.308858330668372	0	0	0	0	0	0	0	0	0	0	0	0
P82909	28S ribosomal protein S36, mitochondrial OS=Homo sapiens GN=MRPS36 PE=1 SV=2 - [RT36_HUMAN]	A	TRUE	0	0.0766478751084128	0.145143104943625	0.528620988725065	0.389202081526453	0.281006071118821	0.529705117085863	1	0.970294882914137	0.706851691240243	0.31764960971379	0.190047701647875	0.043733738074588	0.0521465741543799	0.0207502168256722	0	0	0	0	0	0	0	0.0525585429314831
Q05639	Elongation factor 1-alpha 2 OS=Homo sapiens GN=EEF1A2 PE=1 SV=1 - [EF1A2_HUMAN]	A	TRUE	0	0	0	1	0.962413742475407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q09MP3	RAD51-associated protein 2 OS=Homo sapiens GN=RAD51AP2 PE=1 SV=1 - [R51A2_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695599654874892	0.911130284728214	0	0.704831751509922	1	0	0	0
Q12849	G-rich sequence factor 1 OS=Homo sapiens GN=GRSF1 PE=1 SV=3 - [GRSF1_HUMAN]	A	TRUE	0	0	0	0	1	0.797328323940722	0.423084950949697	0.60926737633062	0.428720517637237	0.293466917136297	0	0.238781047797955	0	0	0.0918388645376748	0	0.129701523690253	0	0.112711333750783	0.125819244416615	0.0957628887497391	0.287831350448758	0
Q13011	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2 - [ECH1_HUMAN]	A	TRUE	0.000107177914110429	0.067361963190184	0.126441717791411	1	0.820858895705521	0.34441717791411	0.123006134969325	0.153251533742331	0.075521472392638	0.0132269938650307	0.0133558282208589	0.0140490797546012	0.00660736196319018	0.00575337423312883	0.00120858895705521	0.00297791411042945	0.00449938650306749	0	0.00265950920245399	0	0	0.00554417177914111	0.0227361963190184
Q13084	39S ribosomal protein L28, mitochondrial OS=Homo sapiens GN=MRPL28 PE=1 SV=4 - [RM28_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0.297741094700261	1	0.968722849695917	0.630668983492615	0.349261511728931	0.461251086012163	0.233014769765421	0.133014769765421	0.145873153779322	0.0727280625543006	0.0658036490008688	0	0.0460990443092963	0.0553431798436143	0
Q13405	39S ribosomal protein L49, mitochondrial OS=Homo sapiens GN=MRPL49 PE=1 SV=1 - [RM49_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0.0238820071383582	0.317866890615159	1	0.962838547134159	0.637938274196935	0.245118622716775	0.549023724543355	0.231681713205963	0.178458954440479	0.187591853873609	0.0903317237035482	0.0420638253201764	0.0731366785639303	0.0629750157463783	0.0681818181818182	0.150850304429981
Q14103;Q99729	Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1 - [HNRPD_HUMAN]|Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2 - [ROAA_HUMAN]	A	TRUE	0	0	0	0	1	0	0	0.424342105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123295454545455	0.483851674641148
Q14197	Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Homo sapiens GN=ICT1 PE=1 SV=1 - [ICT1_HUMAN]	A	TRUE	0	0	0	0.395230263157895	0.604605263157895	0.689144736842105	1	0.815296052631579	0.695230263157895	0.357401315789474	0.216940789473684	0.193914473684211	0.0572203947368421	0.0821217105263158	0.0375822368421053	0.0378782894736842	0.046546052631579	0.0114802631578947	0.0100888157894737	0.0136776315789474	0.0222532894736842	0.0379769736842105	0.225493421052632
Q14320	Protein FAM50A OS=Homo sapiens GN=FAM50A PE=1 SV=2 - [FA50A_HUMAN]	A	TRUE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14571	Inositol 1,4,5-trisphosphate receptor type 2 OS=Homo sapiens GN=ITPR2 PE=1 SV=2 - [ITPR2_HUMAN]	A	TRUE	0	0	0	0.908585055643879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14C86	GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens GN=GAPVD1 PE=1 SV=2 - [GAPD1_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.458686440677966	0	0	0.322987288135593	0	0.577683615819209	0.10225988700565	0	0
Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1 OS=Homo sapiens GN=ARL6IP1 PE=1 SV=2 - [AR6P1_HUMAN]	A	TRUE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16540	39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=1 SV=1 - [RM23_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0.413584324086306	1	0.622413033905768	0.638044914134742	0.215653896961691	0.440334654337296	0.192095992954646	0.180977542932629	0.173822104799648	0.085997357992074	0.0522236900044033	0.0873183619550859	0.0912593571114047	0.0909291061206517	0
Q16822	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Homo sapiens GN=PCK2 PE=1 SV=3 - [PCKGM_HUMAN]	A	TRUE	0	0	0.196458360066727	1	0.651995380469652	0	0	0	0.100846913897087	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q1XH10	SKI/DACH domain-containing protein 1 OS=Homo sapiens GN=SKIDA1 PE=2 SV=1 - [SKDA1_HUMAN]	A	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q27J81	Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2 - [INF2_HUMAN]	A	TRUE	0	0	0	1	0	0	0	0.0577100115074799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q4U2R6	39S ribosomal protein L51, mitochondrial OS=Homo sapiens GN=MRPL51 PE=1 SV=1 - [RM51_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0.251502843216897	0.87408610885459	1	0.502599512591389	0.16246953696182	0.250446791226645	0	0	0	0	0	0	0	0	0
Q5BKX8	Muscle-related coiled-coil protein OS=Homo sapiens GN=MURC PE=1 SV=2 - [MURC_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45830639948287	0.106658047834518	1	0.589528118939884	0	0
Q5H8A4	GPI ethanolamine phosphate transferase 2 OS=Homo sapiens GN=PIGG PE=1 SV=1 - [PIGG_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218566308243728	1	0	0	0	0	0.411326164874552	0.814336917562724	0
Q5HYK3	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Homo sapiens GN=COQ5 PE=1 SV=2 - [COQ5_HUMAN]	A	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5T1C6	Acyl-coenzyme A thioesterase THEM4 OS=Homo sapiens GN=THEM4 PE=1 SV=1 - [THEM4_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0.665179960585002	0	0	0	0	0	0	0	0	0	0	0	0	0.124675863499637	1
Q5T5P2	Sickle tail protein homolog OS=Homo sapiens GN=KIAA1217 PE=1 SV=2 - [SKT_HUMAN]	A	TRUE	0	0	0	0	0	0	0.608989197530864	0.616898148148148	0.653742283950617	0.975887345679012	1	0.569444444444445	0.324074074074074	0.674189814814815	0.419753086419753	0.356674382716049	0.452160493827161	0.26099537037037	0.33545524691358	0.463541666666667	0.279706790123457	0.446566358024691	0.276813271604938
Q5T653	39S ribosomal protein L2, mitochondrial OS=Homo sapiens GN=MRPL2 PE=1 SV=2 - [RM02_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0.89257481648786	1	0.473884810841333	0.320016939582157	0.55561829474873	0.328204404291361	0.222332015810277	0.225296442687747	0.107693393562959	0.0717391304347826	0.0960191981931112	0.0807029926595144	0.0798277809147374	0
Q68DX3	FERM and PDZ domain-containing protein 2 OS=Homo sapiens GN=FRMPD2 PE=1 SV=3 - [FRPD2_HUMAN]	A	TRUE	0	0	0	0	0.572556762092794	1	0.506416584402764	0.427048371174729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6P161	39S ribosomal protein L54, mitochondrial OS=Homo sapiens GN=MRPL54 PE=1 SV=1 - [RM54_HUMAN]	A	TRUE	0	0	0	0	0	0	0.0311780104712042	0.0868062827225131	0	0.846335078534031	1	0.55890052356021	0.24869109947644	0.337696335078534	0.162216404886562	0.0978184991273996	0.104537521815009	0.0547294938917976	0.0670331588132635	0.0553054101221641	0.0404275741710297	0.0615619546247819	0
Q6P1L8	39S ribosomal protein L14, mitochondrial OS=Homo sapiens GN=MRPL14 PE=1 SV=1 - [RM14_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0.341280872447343	1	0.590184967390142	0.727680957981396	0.338714850849995	0.633272746712285	0.262161873195766	0.244092804447771	0.258205923233187	0.100138992836523	0.0695391852881429	0.0786913289853523	0.0874585694429595	0.115791724580349	0.209879183149792
Q6UB98	Ankyrin repeat domain-containing protein 12 OS=Homo sapiens GN=ANKRD12 PE=1 SV=3 - [ANR12_HUMAN]	A	TRUE	0	0	0	0	0	1	0.432357043235704	0	0.258124128312413	0.021094839609484	0.00461297071129707	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z2W9	39S ribosomal protein L21, mitochondrial OS=Homo sapiens GN=MRPL21 PE=1 SV=2 - [RM21_HUMAN]	A	TRUE	0	0	0	0	0	0.115876641918904	0.0438092518560822	0.115191319246145	0.242318675042833	0.829811536264991	1	0.552998286693318	0.222672758423758	0.355625356938892	0.177955454026271	0.109423186750428	0.112507138777841	0.0525528269560251	0.0629354654483152	0	0.0342375785265563	0.0558252427184466	0
Q7Z4L9	Protein phosphatase 1 regulatory subunit 42 OS=Homo sapiens GN=PPP1R42 PE=2 SV=2 - [PPR42_HUMAN]	A	TRUE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z7F7	39S ribosomal protein L55, mitochondrial OS=Homo sapiens GN=MRPL55 PE=1 SV=1 - [RM55_HUMAN]	A	TRUE	0	0.144256541161455	0.213401403956605	1	0.749521378430121	0.388321633694959	0.216624122527122	0.255679642629228	0.161997447351627	0.036215698787492	0.0387683471601787	0.0361199744735163	0	0	0	0	0	0	0.00776005105296745	0	0	0.01797383535418	0.0368219527760051
Q7Z7H8	39S ribosomal protein L10, mitochondrial OS=Homo sapiens GN=MRPL10 PE=1 SV=3 - [RM10_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0	0.637420486948892	0.219565694231191	0	0.282298749725817	0.203114718139943	0.176222855889449	0.0866418074139066	0.128865979381443	0.0993638955911384	0	0	0
Q86TS9	39S ribosomal protein L52, mitochondrial OS=Homo sapiens GN=MRPL52 PE=2 SV=2 - [RM52_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	1	0.715045424329714	0.502105029913583	0.124972302237979	0.207954797252382	0	0	0	0	0	0	0	0	0
Q86UL3	Glycerol-3-phosphate acyltransferase 4 OS=Homo sapiens GN=AGPAT6 PE=1 SV=1 - [GPAT4_HUMAN]	A	TRUE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86W56	Poly(ADP-ribose) glycohydrolase OS=Homo sapiens GN=PARG PE=1 SV=1 - [PARG_HUMAN]	A	TRUE	0	0	0	1	0.642315369261477	0	0	0	0	0	0.317644710578842	0	0.166926147704591	0.550499001996008	0.394491017964072	0.42315369261477	0.589620758483034	0.296207584830339	0.298562874251497	0	0.346786427145709	0.545708582834331	0.835928143712575
Q8IXM3	39S ribosomal protein L41, mitochondrial OS=Homo sapiens GN=MRPL41 PE=1 SV=1 - [RM41_HUMAN]	A	TRUE	0	0	0	0.392181818181818	0.143090909090909	0.139363636363636	0	0.116	0.359363636363636	1	0.530636363636364	0.651818181818182	0.101090909090909	0.446727272727273	0.159818181818182	0.153363636363636	0.122	0.0313818181818182	0	0.0550727272727273	0.0259818181818182	0.0705454545454546	0
Q8IYQ7	Threonine synthase-like 1 OS=Homo sapiens GN=THNSL1 PE=1 SV=2 - [THNS1_HUMAN]	A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q8N4Q1	Mitochondrial intermembrane space import and assembly protein 40 OS=Homo sapiens GN=CHCHD4 PE=1 SV=1 - [MIA40_HUMAN]	A	TRUE	0	0.47662247034194	0	0	0	0	0	1	0.721912072575018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
